S.No,Question Name,Difficulty,LeetCode Link
273,Minimum Cost to Reach Every Position,Easy,https://leetcode.com/problems/minimum-cost-to-reach-every-position/
274,Find X Value of Array I,Medium,https://leetcode.com/problems/find-x-value-of-array-i/
275,Find Closest Person,Easy,https://leetcode.com/problems/find-closest-person/
276,Shortest Path in a Weighted Tree,Hard,https://leetcode.com/problems/shortest-path-in-a-weighted-tree/
277,Analyze Organization Hierarchy,Hard,https://leetcode.com/problems/analyze-organization-hierarchy/
278,Implement Router,Medium,https://leetcode.com/problems/implement-router/
279,Maximum Profit from Valid Topological Order in DAG,Hard,https://leetcode.com/problems/maximum-profit-from-valid-topological-order-in-dag/
280,Apply Substitutions,Medium,https://leetcode.com/problems/apply-substitutions/
281,Number of Unique XOR Triplets I,Medium,https://leetcode.com/problems/number-of-unique-xor-triplets-i/
282,Count Islands With Total Value Divisible by K,Medium,https://leetcode.com/problems/count-islands-with-total-value-divisible-by-k/
283,Fill a Special Grid,Medium,https://leetcode.com/problems/fill-a-special-grid/
284,Count Cells in Overlapping Horizontal and Vertical Substrings,Medium,https://leetcode.com/problems/count-cells-in-overlapping-horizontal-and-vertical-substrings/
285,Number of Unique XOR Triplets II,Medium,https://leetcode.com/problems/number-of-unique-xor-triplets-ii/
286,Count Covered Buildings,Medium,https://leetcode.com/problems/count-covered-buildings/
287,Maximize Profit from Task Assignment,Medium,https://leetcode.com/problems/maximize-profit-from-task-assignment/
288,Maximum Containers on a Ship,Easy,https://leetcode.com/problems/maximum-containers-on-a-ship/
289,DNA Pattern Recognition ,Medium,https://leetcode.com/problems/dna-pattern-recognition/
290,Sum of Largest Prime Substrings,Medium,https://leetcode.com/problems/sum-of-largest-prime-substrings/
291,Find Time Required to Eliminate Bacterial Strains,Hard,https://leetcode.com/problems/find-time-required-to-eliminate-bacterial-strains/
292,Smallest Palindromic Rearrangement II,Hard,https://leetcode.com/problems/smallest-palindromic-rearrangement-ii/
293,Smallest Palindromic Rearrangement I,Medium,https://leetcode.com/problems/smallest-palindromic-rearrangement-i/
294,Reverse Degree of a String,Easy,https://leetcode.com/problems/reverse-degree-of-a-string/
295,Count Numbers with Non-Decreasing Digits ,Hard,https://leetcode.com/problems/count-numbers-with-non-decreasing-digits/
296,Properties Graph,Medium,https://leetcode.com/problems/properties-graph/
297,Longest Palindrome After Substring Concatenation II,Hard,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-ii/
298,Find Maximum Value in a Constrained Sequence,Medium,https://leetcode.com/problems/find-maximum-value-in-a-constrained-sequence/
299,Maximum Coin Collection ,Medium,https://leetcode.com/problems/maximum-coin-collection/
300,Maximize Active Section with Trade I,Medium,https://leetcode.com/problems/maximize-active-section-with-trade-i/
301,Maximize Active Section with Trade II,Hard,https://leetcode.com/problems/maximize-active-section-with-trade-ii/
302,Find Products with Valid Serial Numbers,Easy,https://leetcode.com/problems/find-products-with-valid-serial-numbers/
303,Count Beautiful Numbers,Hard,https://leetcode.com/problems/count-beautiful-numbers/
304,Longest Common Prefix Between Adjacent Strings After Removals,Medium,https://leetcode.com/problems/longest-common-prefix-between-adjacent-strings-after-removals/
305,Unique 3-Digit Even Numbers,Easy,https://leetcode.com/problems/unique-3-digit-even-numbers/
306,Longest Special Path II,Hard,https://leetcode.com/problems/longest-special-path-ii/
307,Design Spreadsheet,Medium,https://leetcode.com/problems/design-spreadsheet/
308,Longest Common Prefix After at Most One Removal,Medium,https://leetcode.com/problems/longest-common-prefix-after-at-most-one-removal/
309,Zero Array Transformation IV,Medium,https://leetcode.com/problems/zero-array-transformation-iv/
310,Find the Minimum Amount of Time to Brew Potions,Medium,https://leetcode.com/problems/find-the-minimum-amount-of-time-to-brew-potions/
311,Longest Palindrome After Substring Concatenation I,Medium,https://leetcode.com/problems/longest-palindrome-after-substring-concatenation-i/
312,Find Invalid IP Addresses,Hard,https://leetcode.com/problems/find-invalid-ip-addresses/
313,Fruits Into Baskets III,Medium,https://leetcode.com/problems/fruits-into-baskets-iii/
314,Fruits Into Baskets II,Easy,https://leetcode.com/problems/fruits-into-baskets-ii/
315,Maximize Subarrays After Removing One Conflicting Pair,Hard,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair/
316,Maximum Unique Subarray Sum After Deletion,Easy,https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/
317,Maximum Students on a Single Bench,Easy,https://leetcode.com/problems/maximum-students-on-a-single-bench/
318,Longest Palindromic Subsequence After at Most K Operations,Medium,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/
319,Find the Number of Copy Arrays,Medium,https://leetcode.com/problems/find-the-number-of-copy-arrays/
320,Longest Common Prefix of K Strings After Removal,Hard,https://leetcode.com/problems/longest-common-prefix-of-k-strings-after-removal/
321,Permutations IV,Hard,https://leetcode.com/problems/permutations-iv/
322,Find Valid Emails,Easy,https://leetcode.com/problems/find-valid-emails/
323,Maximize the Distance Between Points on a Square,Hard,https://leetcode.com/problems/maximize-the-distance-between-points-on-a-square/
324,Permutations III,Medium,https://leetcode.com/problems/permutations-iii/
325,Eat Pizzas!,Medium,https://leetcode.com/problems/eat-pizzas/
326,Transform Array by Parity,Easy,https://leetcode.com/problems/transform-array-by-parity/
327,Maximum Product of Subsequences With an Alternating Sum Equal to K,Hard,https://leetcode.com/problems/maximum-product-of-subsequences-with-an-alternating-sum-equal-to-k/
328,Find Minimum Cost to Remove Array Elements,Medium,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/
329,Separate Squares II,Hard,https://leetcode.com/problems/separate-squares-ii/
330,Check If Digits Are Equal in String After Operations II,Hard,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-ii/
331,Minimum Pair Removal to Sort Array I,Easy,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-i/
332,Minimum Pair Removal to Sort Array II,Hard,https://leetcode.com/problems/minimum-pair-removal-to-sort-array-ii/
333,Select K Disjoint Special Substrings,Medium,https://leetcode.com/problems/select-k-disjoint-special-substrings/
334,Lexicographically Smallest Generated String,Hard,https://leetcode.com/problems/lexicographically-smallest-generated-string/
335,Check If Digits Are Equal in String After Operations I,Easy,https://leetcode.com/problems/check-if-digits-are-equal-in-string-after-operations-i/
336,Find Students Who Improved,Medium,https://leetcode.com/problems/find-students-who-improved/
337,Maximum Median Sum of Subsequences of Size 3,Medium,https://leetcode.com/problems/maximum-median-sum-of-subsequences-of-size-3/
338,Minimum Cost to Divide Array Into Subarrays,Hard,https://leetcode.com/problems/minimum-cost-to-divide-array-into-subarrays/
339,Maximum Sum With at Most K Elements,Medium,https://leetcode.com/problems/maximum-sum-with-at-most-k-elements/
340,Separate Squares I,Medium,https://leetcode.com/problems/separate-squares-i/
341,Maximize the Minimum Game Score,Hard,https://leetcode.com/problems/maximize-the-minimum-game-score/
342,Maximum Difference Between Even and Odd Frequency II,Hard,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii/
343,Assign Elements to Groups with Constraints,Medium,https://leetcode.com/problems/assign-elements-to-groups-with-constraints/
344,Choose K Elements With Maximum Sum,Medium,https://leetcode.com/problems/choose-k-elements-with-maximum-sum/
345,Minimum Unlocked Indices to Sort Nums,Medium,https://leetcode.com/problems/minimum-unlocked-indices-to-sort-nums/
346,Find Products with Three Consecutive Digits ,Easy,https://leetcode.com/problems/find-products-with-three-consecutive-digits/
347,Subsequences with a Unique Middle Mode II,Hard,https://leetcode.com/problems/subsequences-with-a-unique-middle-mode-ii/
348,Maximum Product of First and Last Elements of a Subsequence,Medium,https://leetcode.com/problems/maximum-product-of-first-and-last-elements-of-a-subsequence/
349,Maximum Manhattan Distance After K Changes,Medium,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes/
350,Maximum Difference Between Even and Odd Frequency I,Easy,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-i/
351,Unit Conversion II,Medium,https://leetcode.com/problems/unit-conversion-ii/
352,Maximum Frequency After Subarray Operation,Medium,https://leetcode.com/problems/maximum-frequency-after-subarray-operation/
353,Closest Equal Element Queries,Medium,https://leetcode.com/problems/closest-equal-element-queries/
354,Find the Lexicographically Largest String From the Box II,Hard,https://leetcode.com/problems/find-the-lexicographically-largest-string-from-the-box-ii/
355,Sort Matrix by Diagonals,Medium,https://leetcode.com/problems/sort-matrix-by-diagonals/
356,Maximum Difference Between Adjacent Elements in a Circular Array,Easy,https://leetcode.com/problems/maximum-difference-between-adjacent-elements-in-a-circular-array/
357,Find Circular Gift Exchange Chains,Hard,https://leetcode.com/problems/find-circular-gift-exchange-chains/
358,Minimum Operations to Make Array Elements Zero,Hard,https://leetcode.com/problems/minimum-operations-to-make-array-elements-zero/
359,Reschedule Meetings for Maximum Free Time I,Medium,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-i/
360,Reschedule Meetings for Maximum Free Time II,Medium,https://leetcode.com/problems/reschedule-meetings-for-maximum-free-time-ii/
361,Maximum Number of Matching Indices After Right Shifts,Medium,https://leetcode.com/problems/maximum-number-of-matching-indices-after-right-shifts/
362,Manhattan Distances of All Arrangements of Pieces,Hard,https://leetcode.com/problems/manhattan-distances-of-all-arrangements-of-pieces/
363,Make Array Non-decreasing,Medium,https://leetcode.com/problems/make-array-non-decreasing/
364,Paint House IV,Medium,https://leetcode.com/problems/paint-house-iv/
365,Find Valid Pair of Adjacent Digits in String,Easy,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string/
366,Design a 3D Binary Matrix with Efficient Layer Tracking,Medium,https://leetcode.com/problems/design-a-3d-binary-matrix-with-efficient-layer-tracking/
367,Length of Longest V-Shaped Diagonal Segment,Hard,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment/
368,Calculate Score After Performing Instructions,Medium,https://leetcode.com/problems/calculate-score-after-performing-instructions/
369,Sum of Variable Length Subarrays,Easy,https://leetcode.com/problems/sum-of-variable-length-subarrays/
370,Unit Conversion I,Medium,https://leetcode.com/problems/unit-conversion-i/
371,Longest Team Pass Streak,Hard,https://leetcode.com/problems/longest-team-pass-streak/
372,Maximum and Minimum Sums of at Most Size K Subarrays,Hard,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subarrays/
373,Sum of Good Numbers,Easy,https://leetcode.com/problems/sum-of-good-numbers/
374,Sum of K Subarrays With Length at Least M,Medium,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/
375,Count Mentions Per User,Medium,https://leetcode.com/problems/count-mentions-per-user/
376,Minimize the Maximum Edge Weight of Graph,Medium,https://leetcode.com/problems/minimize-the-maximum-edge-weight-of-graph/
377,Team Dominance by Pass Success,Hard,https://leetcode.com/problems/team-dominance-by-pass-success/
378,Minimum Runes to Add to Cast Spell,Hard,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell/
379,Minimum Operations to Make Elements Within K Subarrays Equal,Hard,https://leetcode.com/problems/minimum-operations-to-make-elements-within-k-subarrays-equal/
380,Longest Subsequence With Decreasing Adjacent Difference,Medium,https://leetcode.com/problems/longest-subsequence-with-decreasing-adjacent-difference/
381,Maximum Coins From K Consecutive Bags,Medium,https://leetcode.com/problems/maximum-coins-from-k-consecutive-bags/
382,Maximum and Minimum Sums of at Most Size K Subsequences,Medium,https://leetcode.com/problems/maximum-and-minimum-sums-of-at-most-size-k-subsequences/
383,Frequencies of Shortest Supersequences,Hard,https://leetcode.com/problems/frequencies-of-shortest-supersequences/
384,Minimum Cost to Make Arrays Identical,Medium,https://leetcode.com/problems/minimum-cost-to-make-arrays-identical/
385,First Letter Capitalization II,Hard,https://leetcode.com/problems/first-letter-capitalization-ii/
386,Design an Array Statistics Tracker ,Hard,https://leetcode.com/problems/design-an-array-statistics-tracker/
387,Find Special Substring of Length K,Easy,https://leetcode.com/problems/find-special-substring-of-length-k/
388,Zigzag Grid Traversal With Skip,Easy,https://leetcode.com/problems/zigzag-grid-traversal-with-skip/
389,Find the Most Common Response,Medium,https://leetcode.com/problems/find-the-most-common-response/
390,Smallest Substring With Identical Characters II,Hard,https://leetcode.com/problems/smallest-substring-with-identical-characters-ii/
391,Find the Largest Almost Missing Integer,Easy,https://leetcode.com/problems/find-the-largest-almost-missing-integer/
